1,ID,Platform,Category,Cookie / Data Key name,Domain,Description,Retention period,Data Controller,User Privacy & GDPR Rights Portals,Wildcard match
39,6ca755d4-8ecc-4031-a28e-b6d42235fb38,Adobe Audience Manager,Marketing,aam_uuid,Advertiser's website domain (1st party),Adobe Audience Manager - data management platform uses these cookies to assign a unique ID when users visit a website.,1 month,Adobe,https://www.adobe.com/nl/privacy.html,0
40,a4b664ae-feb8-4ce4-9f21-27ac382d4702,Adobe Audience Manager,Marketing,AMCV_,Advertiser's website domain (1st party),Adobe Experience Cloud uses a cookie to store a unique visitor ID that is used across Experience Cloud Solutions.,2 years,Adobe,https://www.adobe.com/nl/privacy.html,1
41,fc79d591-2969-4609-85d9-3750faa5d5fb,Adobe Audience Manager,Marketing,AMCVS_,Advertiser's website domain (1st party),The AMCVS cookie serves as a flag indicating that the session has been initialized. Its value is always 1 and discontinues when the session has ended.,Session,Adobe,https://www.adobe.com/nl/privacy.html,1
42,795dc59a-1c7c-4bde-9ea8-53268889840b,Adobe Audience Manager,Marketing,mbox,Advertiser's website domain (1st party),Adobe Target uses cookies to give website operators the ability to test which online content and offers are more relevant to visitors.,2 years,Adobe,https://www.adobe.com/nl/privacy.html,0
43,0b7e888e-67e1-416d-bea1-d574fd2bdc91,Adobe Audience Manager,Functional,at_check,Advertiser's website domain (1st party),A simple test value used to determine if a visitor supports cookies. Set each time a visitor requests a page.,session,Adobe,https://www.adobe.com/nl/privacy.html,0
44,2932ef1f-14ec-4003-91d6-959f68914913,Adobe Audience Manager,Functional,renderid,Advertiser's website domain (1st party),This cookie is needed by the dispatcher (webserver) to distinguish between the different publisher server.,session,Adobe,https://www.adobe.com/nl/privacy.html,0
45,59604f12-af2c-4e48-a0c9-8b295845f0ce,Adobe Analytics,Analytics,s_ppv,Advertiser's website domain (1st party),Stores information on the percentage of the page displayed,session,Adobe,https://www.adobe.com/nl/privacy.html,0
46,85f9f4ca-4805-487e-a4db-11d707aec6b7,Adobe Analytics,Analytics,s_tp,Advertiser's website domain (1st party),This lets us know how much of the page you viewed.,session,Adobe,https://www.adobe.com/nl/privacy.html,0
47,256c453e-d881-11e9-8a34-2a2ae2dbcce4,Adform,Marketing,TPC,adform.net (3rd party),Used to determine if browser of user accepts third party cookies or not,14 days,Adform,https://site.adform.com/privacy-center/overview,0
48,256c4714-d881-11e9-8a34-2a2ae2dbcce4,Adform,Marketing,C,adform.net (3rd party),Used to determine if browser of user accepts cookies or not,60 days till 3650 days,Adform,https://site.adform.com/privacy-center/overview,0
49,256c489a-d881-11e9-8a34-2a2ae2dbcce4,Adform,Marketing,uid,adform.net (3rd party),Contains a unique ID to identify a user,60 days,Adform,https://site.adform.com/privacy-center/overview,0
50,256c49e4-d881-11e9-8a34-2a2ae2dbcce4,Adform,Marketing,cid,adform.net (3rd party),Unique value to be able to identify cookies from users (same as uid),60 days,Adform,https://site.adform.com/privacy-center/overview,0
51,256c4b1a-d881-11e9-8a34-2a2ae2dbcce4,Adform,Marketing,GCM,adform.net (3rd party),Checks if a new partner cookie synchronozation is required,1 day,Adform,https://site.adform.com/privacy-center/overview,0
52,256c4cd2-d881-11e9-8a34-2a2ae2dbcce4,Adform,Marketing,CM,adform.net (3rd party),Checks if a new partner cookie synchronozation is required (cookie set by ad server),1 day,Adform,https://site.adform.com/privacy-center/overview,0
53,256c5038-d881-11e9-8a34-2a2ae2dbcce4,Adform,Marketing,CM14,adform.net (3rd party),Checks if a new partner cookie synchronozation is required (cookie set during cookie synchronozation ),1 day,Adform,https://site.adform.com/privacy-center/overview,0
54,256c5196-d881-11e9-8a34-2a2ae2dbcce4,Adform,Marketing,token,adform.net (3rd party),Security token for opt out functionality,End of session (browser),Adform,https://site.adform.com/privacy-center/overview,0
55,256c52cc-d881-11e9-8a34-2a2ae2dbcce4,Adform,Marketing,otsid,adform.net (3rd party),Opt out cookie for specific advertiser,365 days,Adform,https://site.adform.com/privacy-center/overview,0
56,256c540c-d881-11e9-8a34-2a2ae2dbcce4,Adform,Marketing,adtrc,adform.net (3rd party),Used to determine if browser related information has been collected,7 days,Adform,https://site.adform.com/privacy-center/overview,0
57,256c5542-d881-11e9-8a34-2a2ae2dbcce4,Adform,Marketing,SR<RotatorID>,adform.net (3rd party),"Unique value that records info about consecutive ads - includes: total impressions, daily impressions, total clicks, daily clicks, and last impression date",1 day,Adform,https://site.adform.com/privacy-center/overview,0
58,256c5678-d881-11e9-8a34-2a2ae2dbcce4,Adform,Marketing,CT<TrackingSetupID>,adform.net (3rd party),Identifies the last click membership for third-party pixels on advertiser's pages,1 hour,Adform,https://site.adform.com/privacy-center/overview,0
59,256c5b3c-d881-11e9-8a34-2a2ae2dbcce4,Adform,Marketing,EBFCD<BannerID>,adform.net (3rd party),Registers daily max. number of impressions (frequency cap) for expanding advertisements (expandables),7 days,Adform,https://site.adform.com/privacy-center/overview,0
60,256c5cb8-d881-11e9-8a34-2a2ae2dbcce4,Adform,Marketing,EBFC<BannerID>,adform.net (3rd party),Registers max. total number of impressions (frequency cap) for expanding advertisements (expandables),7 days,Adform,https://site.adform.com/privacy-center/overview,0
61,256c5df8-d881-11e9-8a34-2a2ae2dbcce4,Adform,Marketing,CFFC<TagID>,adform.net (3rd party),Registers max. number of impressions (frequency cap) for compound banners,7 days,Adform,https://site.adform.com/privacy-center/overview,0
62,256c5f2e-d881-11e9-8a34-2a2ae2dbcce4,Adform,Marketing,DigiTrust.v1.identity,adform.net (3rd party),"Unique value with which the user is identified by DigiTrust, an independent industrial body",7 days,Adform,https://site.adform.com/privacy-center/overview,0
63,256c606e-d881-11e9-8a34-2a2ae2dbcce4,Facebook,Marketing,lu,facebook.com (3rd party),"Used to record whether the person chose to remain logged in

Contents: User ID and miscellaneous log in information (e.g., number of logins per account, state of the ""remember me"" check box, etc.)",2 year,Facebook,https://www.facebook.com/about/privacy/,0
64,256c61a4-d881-11e9-8a34-2a2ae2dbcce4,Facebook,Marketing,xs,facebook.com (3rd party),"Used in conjunction with the c_user cookie to authenticate your identity to Facebook.

Contents: Session ID, creation time, authentication value, secure session state, caching group ID",90 days,Facebook,https://www.facebook.com/about/privacy/,0
65,256c62da-d881-11e9-8a34-2a2ae2dbcce4,Facebook,Marketing,c_user,facebook.com (3rd party),"Used in conjunction with the xs cookie to authenticate your identity to Facebook.

Contents: User ID",90 days,Facebook,https://www.facebook.com/about/privacy/,0
66,256c6668-d881-11e9-8a34-2a2ae2dbcce4,Facebook,Marketing,m_user,facebook.com (3rd party),"Used to authenticate your identity on Facebook's mobile website.

Contents: Email, User ID, authentication value, version, user agent capability, creation time, Facebook version indicator",90 days,Facebook,https://www.facebook.com/about/privacy/,0
67,256c67a8-d881-11e9-8a34-2a2ae2dbcce4,Facebook,Marketing,pl,facebook.com (3rd party),"Used to record that a device or browser logged in via Facebook platform.

Contents: Y/N",90 days,Facebook,https://www.facebook.com/about/privacy/,0
68,256c68fc-d881-11e9-8a34-2a2ae2dbcce4,Facebook,Marketing,dbln,facebook.com (3rd party),"Used to enable device-based logins

Contents: Login authentication values",2 years,Facebook,https://www.facebook.com/about/privacy/,0
69,256c6a32-d881-11e9-8a34-2a2ae2dbcce4,Facebook,Marketing,aks,facebook.com (3rd party),"Determines the login state of a person visiting accountkit.com

Contents: Account kit access token",30 days,Facebook,https://www.facebook.com/about/privacy/,0
70,256c6b68-d881-11e9-8a34-2a2ae2dbcce4,Facebook,Marketing,aksb,facebook.com (3rd party),"Authenticates logins using Account Kit

Contents: Request time value",30 minutes,Facebook,https://www.facebook.com/about/privacy/,0
71,256c6d8e-d881-11e9-8a34-2a2ae2dbcce4,Facebook,Marketing,sfau,facebook.com (3rd party),"Optimizes recovery flow after failed login attempts

Contents: Encrypted user ID, contact point, time stamp, and other login information",1 day,Facebook,https://www.facebook.com/about/privacy/,0
72,256c7176-d881-11e9-8a34-2a2ae2dbcce4,Facebook,Marketing,ick,facebook.com (3rd party),Stores an encryption key used to encrypt cookies,2 years,Facebook,https://www.facebook.com/about/privacy/,0
73,256c72f2-d881-11e9-8a34-2a2ae2dbcce4,Facebook,Marketing,csm,facebook.com (3rd party),Insecure indicator,90 days,Facebook,https://www.facebook.com/about/privacy/,0
74,256c74c8-d881-11e9-8a34-2a2ae2dbcce4,Facebook,Marketing,s,facebook.com (3rd party),"	
Facebook browser identification, authentication, marketing, and other Facebook-specific function cookies.",90 days,Facebook,https://www.facebook.com/about/privacy/,0
75,256c7612-d881-11e9-8a34-2a2ae2dbcce4,Facebook,Marketing,datr,facebook.com (3rd party),"Used to prevent creation of fake / spammy accounts. Datr cookie is associated with a browser, not individual people.",2 years,Facebook,https://www.facebook.com/about/privacy/,0
76,256c7752-d881-11e9-8a34-2a2ae2dbcce4,Facebook,Marketing,sb,facebook.com (3rd party),"Facebook browser identification, authentication, marketing, and other Facebook-specific function cookies.",2 years,Facebook,https://www.facebook.com/about/privacy/,0
77,256c787e-d881-11e9-8a34-2a2ae2dbcce4,Facebook,Marketing,fr,facebook.com (3rd party),"Contains a unique browser and user ID, used for targeted advertising.",90 days,Facebook,https://www.facebook.com/about/privacy/,0
78,256c7c5c-d881-11e9-8a34-2a2ae2dbcce4,Facebook,Marketing,oo,facebook.com (3rd party),Ad optout cookie,5 years,Facebook,https://www.facebook.com/about/privacy/,0
79,256c7db0-d881-11e9-8a34-2a2ae2dbcce4,Facebook,Marketing,ddid,facebook.com (3rd party),Used to open a specific location in an advertiser's app upon installation,28 days,Facebook,https://www.facebook.com/about/privacy/,0
80,256c7f04-d881-11e9-8a34-2a2ae2dbcce4,Facebook,Marketing,locale,facebook.com (3rd party),"This cookie contains the display locale of the last logged in user on this browser. This cookie
appears to only be set after the user logs out.
The locale cookie has a lifetime of one week.",7 days,Facebook,https://www.facebook.com/about/privacy/,0
81,0d249cd5-ae35-4dbb-ad00-d5ca46948619,Facebook,Marketing,_fbp,facebook.com (3rd party),Used by Facebook to deliver a series of advertisement products such as real time bidding from third party advertisers,4 months,Facebook,https://www.facebook.com/about/privacy/,0
82,d437b1da-7729-4c74-a5cc-e73620f5e381,Facebook,Marketing,_fbc,facebook.com (3rd party),Used by Facebook to deliver a series of advertisement products such as real time bidding from third party advertisers,2 years,Facebook,https://www.facebook.com/about/privacy/,0
83,256c8170-d881-11e9-8a34-2a2ae2dbcce4,Facebook,Marketing,js_ver,facebook.com (3rd party),Records the age of Facebook javascript files.,7 days,Facebook,https://www.facebook.com/about/privacy/,0
84,256c82a6-d881-11e9-8a34-2a2ae2dbcce4,Facebook,Marketing,rc,facebook.com (3rd party),Used to optimize site performance for advertisers,7 days,Facebook,https://www.facebook.com/about/privacy/,0
85,256c84f4-d881-11e9-8a34-2a2ae2dbcce4,Facebook,Marketing,campaign_click_url,facebook.com (3rd party),Records the Facebook URL that an individual landed on after clicking on an ad promoting Facebook,30 days,Facebook,https://www.facebook.com/about/privacy/,0
86,47a69b68-dfe1-480f-972f-0a09762af6b5,Facebook,Functional,wd,facebook.com (3rd party),This cookie stores the browser window dimensions and is used by Facebook to optimise the rendering of the page.,Session,Facebook,https://www.facebook.com/about/privacy/,0
87,256c8986-d881-11e9-8a34-2a2ae2dbcce4,DoubleClick/Google Marketing,Marketing,IDE,doubleclick.net (3rd party),"This cookie is used for targeting, analyzing and optimisation of ad campaigns in DoubleClick/Google Marketing Suite ",2 years,Google,https://privacy.google.com/take-control.html,0
88,256c8af8-d881-11e9-8a34-2a2ae2dbcce4,DoubleClick/Google Marketing,Marketing,DSID,doubleclick.net (3rd party),"This cookie is used for targeting, analyzing and optimisation of ad campaigns in DoubleClick/Google Marketing Suite ",2 weeks,Google,https://privacy.google.com/take-control.html,0
89,256c8c38-d881-11e9-8a34-2a2ae2dbcce4,DoubleClick/Google Marketing,Marketing,ID,doubleclick.net (3rd party),"This cookie is used for targeting, analyzing and optimisation of ad campaigns in DoubleClick/Google Marketing Suite ",2 months,Google,https://privacy.google.com/take-control.html,0
90,4421f8c6-111e-4891-8fb8-e06e14b88b86,DoubleClick/Google Marketing,Marketing,RUL,doubleclick.net (3rd party),Used by DoubleClick to determine if the website ad was properly displayed. This is done to make their marketing efforts more efficient.,1 year,Google,https://privacy.google.com/take-control.html,0
91,cd5b4059-c31a-4467-bb0d-5fe50b0589b4,DoubleClick/Google Marketing,Marketing,__gads,Advertiser's website domain (1st party),"This cookie is used by Google for a variety of purposes (e.g., ensuring Frequency Caps work correctly). It includes AdSense if you have AdSense enabled. This cookie is associated with the DoubleClick for Publishers service from Google. Its purpose is to monitor the showing of advertisements on the site, for which the owner may earn some revenue. The main purpose of this cookie is targeting/advertising.",various,Google,https://privacy.google.com/take-control.html,0
92,aa3571ac-7c69-4840-835a-9c086e5acda0,DoubleClick/Google Marketing,Marketing,GoogleAdServingTest,Advertiser's website domain (1st party),Used to register what ads have been displayed to the user.,session,Google,https://privacy.google.com/take-control.html,0
93,256c8d78-d881-11e9-8a34-2a2ae2dbcce4,Platform161,Marketing,fl_inst,creative-serving.com (3rd party),Used to check if Flash plugin is enabled in browser of user.,7 days,Platform161,https://platform161.com/cookie-and-privacy-policy/,0
94,256c8eae-d881-11e9-8a34-2a2ae2dbcce4,Platform161,Marketing,pvc2,creative-serving.com (3rd party),Contains information related to ad impressions.,13 months,Platform161,https://platform161.com/cookie-and-privacy-policy/,0
95,256c8fe4-d881-11e9-8a34-2a2ae2dbcce4,Platform161,Marketing,pcc2,creative-serving.com (3rd party),Contains information related to ad impressions.,13 months,Platform161,https://platform161.com/cookie-and-privacy-policy/,0
96,256c93ae-d881-11e9-8a34-2a2ae2dbcce4,Platform161,Marketing,trc,creative-serving.com (3rd party),Contains information related to ad impressions.,13 months,Platform161,https://platform161.com/cookie-and-privacy-policy/,0
97,256c9516-d881-11e9-8a34-2a2ae2dbcce4,Platform161,Marketing,tuuid,creative-serving.com (3rd party),Unique value to identify individual users.,13 months,Platform161,https://platform161.com/cookie-and-privacy-policy/,0
98,256c964c-d881-11e9-8a34-2a2ae2dbcce4,Platform161,Marketing,ad2,creative-serving.com (3rd party),Contains information related to ad impressions.,13 months,Platform161,https://platform161.com/cookie-and-privacy-policy/,0
99,256c9840-d881-11e9-8a34-2a2ae2dbcce4,Bing / Microsoft,Marketing,MR,.bing.com (3rd party) or .microsoft.com (3rd party),Used to collect information for analytics purposes.,6 months,Microsoft,https://account.microsoft.com/privacy,0
100,256c999e-d881-11e9-8a34-2a2ae2dbcce4,Bing / Microsoft,Marketing,MUID,.bing.com (3rd party) or .microsoft.com (3rd party),"Identifies unique web browsers visiting Microsoft sites. These cookies are used for advertising, site analytics, and other operational purposes.",1 year,Microsoft,https://account.microsoft.com/privacy,0
101,256c9b60-d881-11e9-8a34-2a2ae2dbcce4,Bing / Microsoft,Marketing,MUIDB,.bing.com (3rd party) or .microsoft.com (3rd party),"Identifies unique web browsers visiting Microsoft sites. These cookies are used for advertising, site analytics, and other operational purposes.",1 year,Microsoft,https://account.microsoft.com/privacy,0
102,256c9eb2-d881-11e9-8a34-2a2ae2dbcce4,Bing / Microsoft,Marketing,MC1,.bing.com (3rd party) or .microsoft.com (3rd party),"Identifies unique web browsers visiting Microsoft sites. These cookies are used for advertising, site analytics, and other operational purposes.",1 year,Microsoft,https://account.microsoft.com/privacy,0
103,256ca010-d881-11e9-8a34-2a2ae2dbcce4,Bing / Microsoft,Marketing,MSFPC,.bing.com (3rd party) or .microsoft.com (3rd party),"Identifies unique web browsers visiting Microsoft sites. These cookies are used for advertising, site analytics, and other operational purposes.",1 year,Microsoft,https://account.microsoft.com/privacy,0
104,256ca150-d881-11e9-8a34-2a2ae2dbcce4,Bing / Microsoft,Marketing,_uetsid,.bing.com (3rd party) or .microsoft.com (3rd party),This cookie is used by Bing to determine what ads should be shown that may be relevant to the end user perusing the site.,30 minutes,Microsoft,https://account.microsoft.com/privacy,0
105,8a195ee3-9a8c-4442-9ee2-37a718864253,Bing / Microsoft,Marketing,_uetvid,.bing.com (3rd party) or .microsoft.com (3rd party),This is a cookie utilised by Microsoft Bing Ads and is a tracking cookie. It allows us to engage with a user that has previously visited our website.,16 days,Microsoft,https://account.microsoft.com/privacy,0
106,256ca290-d881-11e9-8a34-2a2ae2dbcce4,Bing / Microsoft,Marketing,ANON,microsoft.com (3rd party),"Contains the ANID, a unique identifier derived from your Microsoft account, which is used for advertising, personalization, and operational purposes. It is also used to preserve your choice to opt out of interest-based advertising from Microsoft if you have chosen to associate the opt-out with your Microsoft account.",1 year,Microsoft,https://account.microsoft.com/privacy,0
107,b15dc96b-ad02-4c36-9dee-d0c7bafea40f,Bing / Microsoft,Marketing,ANONCHK,microsoft.com (3rd party),Used to store session ID for a users session to ensure that clicks from adverts on the Bing search engine are verified for reporting purposes and for personalisation,10 minutes,Microsoft,https://account.microsoft.com/privacy,0
108,256ca3c6-d881-11e9-8a34-2a2ae2dbcce4,Bing / Microsoft,Marketing,CC,microsoft.com (3rd party),Contains a country code as determined from your IP address.,1 year,Microsoft,https://account.microsoft.com/privacy,0
109,256ca4fc-d881-11e9-8a34-2a2ae2dbcce4,Bing / Microsoft,Functional,PPAuth,microsoft.com (3rd party),Helps to authenticate you when you sign in with your Microsoft account.,5 years,Microsoft,https://account.microsoft.com/privacy,0
110,256ca632-d881-11e9-8a34-2a2ae2dbcce4,Bing / Microsoft,Functional,MSPAuth,microsoft.com (3rd party),Helps to authenticate you when you sign in with your Microsoft account.,5 years,Microsoft,https://account.microsoft.com/privacy,0
111,256ca95c-d881-11e9-8a34-2a2ae2dbcce4,Bing / Microsoft,Functional,MSNRPSAuth,microsoft.com (3rd party),Helps to authenticate you when you sign in with your Microsoft account.,5 years,Microsoft,https://account.microsoft.com/privacy,0
112,256caf10-d881-11e9-8a34-2a2ae2dbcce4,Bing / Microsoft,Functional,KievRPSAuth,microsoft.com (3rd party),Helps to authenticate you when you sign in with your Microsoft account.,5 years,Microsoft,https://account.microsoft.com/privacy,0
113,256cb096-d881-11e9-8a34-2a2ae2dbcce4,Bing / Microsoft,Functional,WLSSC,microsoft.com (3rd party),Helps to authenticate you when you sign in with your Microsoft account.,5 years,Microsoft,https://account.microsoft.com/privacy,0
